id,name,admin_id,tech_id,org_id,created,updated,source,raw
MAINT-ID-T2NET,PT Tonggak Teknologi Netikom\nT2Net Networking partnership\nSleman Yogyakarta,HI164-AP,HI164-AP,,,2024-04-04,idnic,mntner:         MAINT-ID-T2NET\ndescr:          PT Tonggak Teknologi Netikom\ndescr:          T2Net Networking partnership\ndescr:          Sleman Yogyakarta\nadmin-c:        HI164-AP\nupd-to:         support@t2net.id\nauth:           # Filtered\nmnt-by:         MAINT-ID-T2NET\ntech-c:         HI164-AP\nremarks:        Send spam & abuse report to: support@t2net.id\nreferral-by:    MNT-APJII-ID\nlast-modified:  2024-04-04T06:34:41Z\nsource:         IDNIC\n
MAINT-CN-DMTNET,"Shanghai DMT Information Network cor.,LTD.\n23F YUNHUA Science & Tech.Building No.912\ngonghexin Road.Shanghai China",LZ576-AP,YH560-AP,,,2008-09-04,apnic,"mntner:         MAINT-CN-DMTNET\nupd-to:         huyiming_007@163.com\nauth:           # Filtered\ndescr:          Shanghai DMT Information Network cor.,LTD.\ndescr:          23F YUNHUA Science & Tech.Building No.912\ndescr:          gonghexin Road.Shanghai China\nadmin-c:        LZ576-AP\ntech-c:         YH560-AP\ncountry:        CN\nmnt-nfy:        huyiming_007@163.com\nreferral-by:    APNIC-HM\nmnt-by:         MAINT-CN-DMTNET\nlast-modified:  2008-09-04T07:28:59Z\nsource:         APNIC"
LIR-TR-MISLI-1-MNT,Startup maintainer,AA38820-RIPE,AA38820-RIPE,,2021-11-11,2024-10-31,ripe,mntner:         lir-tr-misli-1-MNT\ndescr:          Startup maintainer\nadmin-c:        AA38820-RIPE\ntech-c:         AA38820-RIPE\nupd-to:         safe_ripe@misli.com\nauth:           SSO\nauth:           SSO\nmnt-by:         lir-tr-misli-1-MNT\ncreated:        2021-11-11T12:40:24Z\nlast-modified:  2024-10-31T14:12:27Z\nsource:         RIPE
NL-AUMATICS-1-MNT,Startup maintainer,EVP65-RIPE,AB35393-RIPE,,2016-12-08,2024-01-11,ripe,mntner:         nl-aumatics-1-mnt\ndescr:          Startup maintainer\nadmin-c:        EVP65-RIPE\ntech-c:         AB35393-RIPE\nupd-to:         helpdesk@aumatics.nl\nauth:           SSO\nauth:           SSO\nauth:           SSO\nauth:           SSO\nmnt-by:         nl-aumatics-1-mnt\ncreated:        2016-12-08T09:07:11Z\nlast-modified:  2024-01-11T09:37:57Z\nsource:         RIPE
DE-STADTNETZE-2-MNT,,JR9562-RIPE,,,2018-09-19,2019-08-21,ripe,mntner:         de-stadtnetze-2-mnt\nadmin-c:        JR9562-RIPE\nupd-to:         j.rabe@stadtwerke-barmstedt.de\nauth:           SSO\nmnt-by:         de-stadtnetze-2-mnt\ncreated:        2018-09-19T06:50:37Z\nlast-modified:  2019-08-21T12:50:31Z\nsource:         RIPE
FUTURO-MNT,FUTURO Poland Maintainer,NT1264-RIPE,NT1264-RIPE,,2002-08-26,2017-04-05,ripe,mntner:         FUTURO-MNT\ndescr:          FUTURO Poland Maintainer\nadmin-c:        NT1264-RIPE\ntech-c:         NT1264-RIPE\nupd-to:         ripe@netia.pl\nauth:           SSO\nauth:           SSO\nauth:           PGPKEY-3BEA2DA4\nauth:           PGPKEY-94E59EB1\nmnt-by:         NETIA-MNT\ncreated:        2002-08-26T08:32:29Z\nlast-modified:  2017-04-05T10:53:39Z\nsource:         RIPE
LIR-ES-XTUDIONETWORKS1-1-MNT,,DUMY-RIPE,,,2021-07-22,2021-07-22,ripe,"mntner:         lir-es-xtudionetworks1-1-MNT\nadmin-c:        DUMY-RIPE\nupd-to:         unread@ripe.net\nauth:           MD5-PW $1$SaltSalt$DummifiedMD5HashValue.   # Real value hidden for security\nmnt-by:         lir-es-xtudionetworks1-1-MNT\ncreated:        2021-07-22T06:45:31Z\nlast-modified:  2021-07-22T06:45:31Z\nsource:         RIPE\nremarks:        ****************************\nremarks:        * THIS OBJECT IS MODIFIED\nremarks:        * Please note that all data that is generally regarded as personal\nremarks:        * data has been removed from this object.\nremarks:        * To view the original object, please query the RIPE Database at:\nremarks:        * http://www.ripe.net/whois\nremarks:        ****************************\n"
UK-IGEMCOMMUNICATIONS-1-MNT,Startup maintainer,AJ4655-RIPE,AJ4655-RIPE,,2017-12-20,2017-12-20,ripe,mntner:         uk-igemcommunications-1-mnt\ndescr:          Startup maintainer\nadmin-c:        AJ4655-RIPE\ntech-c:         AJ4655-RIPE\nupd-to:         anthony.jett@globalgig.com\nauth:           SSO\nmnt-by:         uk-igemcommunications-1-mnt\ncreated:        2017-12-20T08:57:56Z\nlast-modified:  2017-12-20T08:57:56Z\nsource:         RIPE
IL40688-MNT,Maintainer,INTL,,,2013-10-24,2025-06-25,ripe,mntner:         IL40688-MNT\ndescr:          Maintainer\nadmin-c:        INTL\nupd-to:         tokin.wg@gmail.com\nauth:           SSO\nauth:           SSO\nmnt-by:         IL40688-MNT\nnotify:         tokin.wg@gmail.com\nremarks:        Accepted the RIPE Database Terms and Conditions\ncreated:        2013-10-24T10:02:31Z\nlast-modified:  2025-06-25T10:36:50Z\nsource:         RIPE
MAINT-ALMAMUN-BD,Almamun online,AOA7-AP,,,,2021-01-05,apnic,mntner:         MAINT-ALMAMUN-BD\ndescr:          Almamun online\ncountry:        BD\nadmin-c:        AOA7-AP\nupd-to:         admin@almamunonline.net\nauth:           # Filtered\nmnt-by:         MAINT-ALMAMUN-BD\nreferral-by:    APNIC-HM\nlast-modified:  2021-01-05T23:30:39Z\nsource:         APNIC
RAMTIN,,NA6869-RIPE,,,2020-11-25,2020-11-25,ripe,mntner:         Ramtin\nadmin-c:        NA6869-RIPE\nupd-to:         amjb207@gmail.com\nauth:           SSO\nmnt-by:         Ramtin\ncreated:        2020-11-25T07:54:04Z\nlast-modified:  2020-11-25T07:54:04Z\nsource:         RIPE
MAINT-ID-BBGISA,"PT. Bakrie & Brothers, Tbk\nWisma Bakrie 2, 16th Fl.\nJl. H.R. Rasuna Said Kav B-2\nJakarta 12920, Indonesia",AK324-AP,AK324-AP,,,2008-09-04,apnic,"mntner:         MAINT-ID-BBGISA\nupd-to:         adi@arsen.co.id\ndescr:          PT. Bakrie & Brothers, Tbk\ndescr:          Wisma Bakrie 2, 16th Fl.\ndescr:          Jl. H.R. Rasuna Said Kav B-2\ndescr:          Jakarta 12920, Indonesia\nauth:           # Filtered\nadmin-c:        AK324-AP\ntech-c:         AK324-AP\ncountry:        ID\nmnt-nfy:        adi@arsen.co.id\nreferral-by:    APNIC-HM\nmnt-by:         MAINT-ID-BBGISA\nremarks:        Send Spam & Abuse reports to: abuse@bakrie.co.id\nlast-modified:  2008-09-04T07:29:05Z\nsource:         APNIC"
MNT-TR-REDBI-1,Startup maintainer,SK13658-RIPE,SK13658-RIPE,,2018-11-22,2018-11-22,ripe,mntner:         mnt-tr-redbi-1\ndescr:          Startup maintainer\nadmin-c:        SK13658-RIPE\ntech-c:         SK13658-RIPE\nupd-to:         redbil@pingsonic.com\nauth:           SSO\nmnt-by:         mnt-tr-redbi-1\ncreated:        2018-11-22T17:27:38Z\nlast-modified:  2018-11-22T17:27:38Z\nsource:         RIPE
AS211597-MNT,AS211597 (litfibre) Maintainer Object,NA6927-RIPE\nPA10682-RIPE,,,2021-04-08,2021-09-09,ripe,mntner:         AS211597-MNT\nadmin-c:        NA6927-RIPE\nadmin-c:        PA10682-RIPE\ndescr:          AS211597 (litfibre) Maintainer Object\nupd-to:         ola.oyewusi@litfibre.com\nupd-to:         noc@litfibre.com\nupd-to:         peering@litfibre.com\nauth:           SSO\nauth:           SSO\nauth:           PGPKEY-60870BA1\nmnt-by:         AS211597-MNT\ncreated:        2021-04-08T10:33:36Z\nlast-modified:  2021-09-09T10:50:16Z\nsource:         RIPE
BLACKTEA-MILK-MNT,,BL8148-RIPE,,,2024-03-20,2024-03-20,ripe,mntner:         BLACKTEA-MILK-MNT\nadmin-c:        BL8148-RIPE\nupd-to:         abb3850144@gmail.com\nauth:           SSO\nmnt-by:         BLACKTEA-MILK-MNT\ncreated:        2024-03-20T09:15:26Z\nlast-modified:  2024-03-20T09:15:26Z\nsource:         RIPE
ITSPHERE-MNT,ITSphere LLC,PVS129-RIPE,,,2010-11-26,2010-11-26,ripe,"mntner:         ITSphere-mnt\ndescr:          ITSphere LLC\nadmin-c:        PVS129-RIPE\nupd-to:         head@itsfera.org\nremarks:        MD5 passwords older than November 2011 were removed from this maintainer, see: https://www.ripe.net/removed2011pw\nmnt-by:         lidertelecom-mnt\ncreated:        2010-11-26T07:49:22Z\nlast-modified:  2010-11-26T07:49:22Z\nsource:         RIPE"
NETLOCK-HU-MNT,NETLOCK Internet Security Ltd.\nNETLOCK Halozatbiztonsagi Kft.\nBudapest\nHungary,TN841-RIPE\nZR1-RIPE,TN841-RIPE\nLS4559-RIPE,,2008-02-18,2019-04-23,ripe,mntner:         NETLOCK-HU-MNT\ndescr:          NETLOCK Internet Security Ltd.\ndescr:          NETLOCK Halozatbiztonsagi Kft.\ndescr:          Budapest\ndescr:          Hungary\nadmin-c:        TN841-RIPE\nadmin-c:        ZR1-RIPE\ntech-c:         TN841-RIPE\ntech-c:         LS4559-RIPE\nupd-to:         hostmaster@telekom.hu\nmnt-nfy:        hostmaster@telekom.hu\nmnt-nfy:        nemeth_t@netlock.net\nauth:           PGPKEY-CFEB4EBD\nauth:           SSO\nmnt-by:         NETLOCK-HU-MNT\ncreated:        2008-02-18T14:35:40Z\nlast-modified:  2019-04-23T14:55:09Z\nsource:         RIPE
AVD-FFM-MNT,,DC3152-RIPE\nCA290-RIPE,,,2022-01-21,2022-01-25,ripe,mntner:         avd-ffm-mnt\nadmin-c:        DC3152-RIPE\nadmin-c:        CA290-RIPE\nupd-to:         daniel.cronauer@avd.de\nupd-to:         carsten.albert@nemsis.de\nauth:           SSO\nauth:           SSO\nmnt-by:         avd-ffm-mnt\nmnt-by:         NEMSIS-MNT\ncreated:        2022-01-21T20:13:29Z\nlast-modified:  2022-01-25T07:28:32Z\nsource:         RIPE
PRICEWATER-MNT,PricewaterhouseCoopers,AK6326-RIPE,,,2010-06-04,2010-06-04,ripe,"mntner:         PRICEWATER-MNT\ndescr:          PricewaterhouseCoopers\nadmin-c:        AK6326-RIPE\nupd-to:         alexander.kosukhin@ru.pwc.com\nremarks:        MD5 passwords older than November 2011 were removed from this maintainer, see: https://www.ripe.net/removed2011pw\nmnt-by:         ROSPRINT-NCC\ncreated:        2010-06-04T11:29:15Z\nlast-modified:  2010-06-04T11:29:15Z\nsource:         RIPE"
MAINT-AU-JM131-AP,Synthesised maintainer for Jeff Morgan,JM131-AP,JM131-AP,,,2016-10-20,apnic,mntner:         MAINT-AU-JM131-AP\ndescr:          Synthesised maintainer for Jeff Morgan\ncountry:        AU\nadmin-c:        JM131-AP\ntech-c:         JM131-AP\nupd-to:         jeff@nanou.com.au\nauth:           # Filtered\nmnt-nfy:        jeff@nanou.com.au\nremarks:        This maintainer was created based on data from the AUNIC database.\nremarks:        The initial authorisation for objects protected by this mntner\nremarks:        (objects that mention this mntner in the mnt-by field) is\nremarks:        given at http://www.apnic.net/db/aunic/authorisation.html .\nremarks:        Nic-hdl JM131-AP is based on data for JM3-AU in AUNIC database.\nnotify:         jeff@nanou.com.au\nmnt-by:         MAINT-AU-JM131-AP\nreferral-by:    APNIC-HM\nlast-modified:  2016-10-20T00:38:36Z\nsource:         APNIC
MAINT-COSMOS-IN,COSMOS CABLE WORK,CCWA1-AP,CCWA1-AP,,,2016-04-20,apnic,mntner:         MAINT-COSMOS-IN\ndescr:          COSMOS CABLE WORK\ncountry:        IN\nadmin-c:        CCWA1-AP\ntech-c:         CCWA1-AP\nupd-to:         support@alliancekolkata.com\nauth:           # Filtered\nmnt-by:         MAINT-COSMOS-IN\nreferral-by:    APNIC-HM\nlast-modified:  2016-04-20T00:58:38Z\nsource:         APNIC
MAINT-ONECUBITCOLTD-HK2,"OneCubit Co., Ltd. HK",HNOC2-AP,,,,2022-10-29,apnic,"mntner:         MAINT-ONECUBITCOLTD-HK2\ndescr:          OneCubit Co., Ltd. HK\nadmin-c:        HNOC2-AP\nupd-to:         abuse@onecubit.net\nmnt-by:         MAINT-ONECUBITCOLTD-HK2\nauth:           # Filtered\ncountry:        HK\nlast-modified:  2022-10-29T08:12:54Z\nsource:         APNIC\n"
FR-COAXIS-1-MNT,Startup maintainer,MB42348-RIPE,MB42348-RIPE,,2016-09-16,2022-05-02,ripe,mntner:         fr-coaxis-1-mnt\ndescr:          Startup maintainer\nadmin-c:        MB42348-RIPE\ntech-c:         MB42348-RIPE\nupd-to:         mathieu.betous@coaxis.com\nauth:           SSO\nauth:           SSO\nauth:           SSO\nauth:           SSO\nmnt-by:         fr-coaxis-1-mnt\ncreated:        2016-09-16T10:06:19Z\nlast-modified:  2022-05-02T14:31:37Z\nsource:         RIPE
DW36406-MNT,Maintainer,dwal-GB,,,2011-07-22,2011-07-22,ripe,"mntner:         DW36406-MNT\ndescr:          Maintainer\nadmin-c:        dwal-GB\nupd-to:         david.wallis@callcreditgroup.com\nremarks:        MD5 passwords older than November 2011 were removed from this maintainer, see: https://www.ripe.net/removed2011pw\nmnt-by:         DW36406-MNT\nnotify:         david.wallis@callcreditgroup.com\nremarks:        Accepted the RIPE Database Terms and Conditions\ncreated:        2011-07-22T14:02:37Z\nlast-modified:  2011-07-22T14:02:37Z\nsource:         RIPE"
GENERATED-RGRGU3E5W1W3H1HGPKBISFJJIFK1JOYP-MNT,Auto-generated maintainer,AGMT2310-AFRINIC,,,,,afrinic,mntner:         GENERATED-RGRGU3E5W1W3H1HGPKBISFJJIFK1JOYP-MNT\ndescr:          Auto-generated maintainer\nadmin-c:        AGMT2310-AFRINIC\nupd-to:         hostmaster@afrinic.net\nauth:           BCRYPT-PW # Filtered\nmnt-by:         AFRINIC-HM-MNT\nchanged:        hostmaster@afrinic.net\nsource:         AFRINIC # Filtered
MAINT-SIN-STARHUB-LTD,ipadmin@starhub.com,NS110-AP,NS110-AP,,,2012-01-19,apnic,mntner:         MAINT-SIN-STARHUB-LTD\nupd-to:         ahktan@starhub.com\nauth:           # Filtered\ndescr:          ipadmin@starhub.com\nadmin-c:        NS110-AP\ntech-c:         NS110-AP\ncountry:        SG\nmnt-nfy:        ahktan@starhub.com\nreferral-by:    APNIC-HM\nmnt-by:         MAINT-SIN-STARHUB-LTD\nlast-modified:  2012-01-19T23:47:37Z\nsource:         APNIC
LANCK-MNT,MTS Spb Maintainer,MTU1-RIPE,MTU1-RIPE,,2002-08-14,2022-06-09,ripe,mntner:         LANCK-MNT\ndescr:          MTS Spb Maintainer\nadmin-c:        MTU1-RIPE\ntech-c:         MTU1-RIPE\nupd-to:         lir@mtu.ru\nmnt-nfy:        lir@mtu.ru\nauth:           SSO\nauth:           SSO\nauth:           SSO\nnotify:         lir@mtu.ru\nmnt-by:         LANCK-MNT\ncreated:        2002-08-14T08:19:37Z\nlast-modified:  2022-06-09T11:05:07Z\nsource:         RIPE
LEYLEE-MNT,,EL28833-RIPE,,,2021-06-08,2021-06-08,ripe,mntner:         LEYLEE-MNT\nadmin-c:        EL28833-RIPE\nupd-to:         leylee2001@gmail.com\nauth:           SSO\nmnt-by:         LEYLEE-MNT\ncreated:        2021-06-08T11:09:02Z\nlast-modified:  2021-06-08T13:14:15Z\nsource:         RIPE
MAINT-IN-INFYTRIX,INFYTRIX ECOM PRIVATE LIMITED,AT1850-AP,,,,2024-06-14,apnic,mntner:         MAINT-IN-INFYTRIX\ndescr:          INFYTRIX ECOM PRIVATE LIMITED\nadmin-c:        AT1850-AP\nupd-to:         abhishek@infytrix.com\nmnt-by:         MAINT-IN-INFYTRIX\nauth:           # Filtered\nlast-modified:  2024-06-14T05:22:09Z\nsource:         APNIC
TF-163-198-MNT,Auto-generated maintainer for,AH338-AFRINIC,AH338-AFRINIC,,,2005-02-21,afrinic,"mntner:         TF-163-198-MNT\ndescr:          Auto-generated maintainer for\nTransfer from ARIN to AFRINIC\nadmin-c:        AH338-AFRINIC\ntech-c:         AH338-AFRINIC\nupd-to:         info@afri.holdings\nauth:           BCRYPT-PW # Filtered\nremarks:\nremarks:        This maintainer was created for the\nremarks:        transfer of data from ARIN to AFRINIC\nremarks:        and protects the inetnum\nremarks:        163.198.0.0 - 163.198.255.255 and all\nremarks:        more specific inetnum objects,\nremarks:        as well as the organisation object\nremarks:        for 163.198.0.0 - 163.198.255.255\nremarks:        and reverse domain objects.\nremarks:\nremarks:        The password to unlock the network\nremarks:        protected by this object has been\nremarks:        e-mailed to the contacts for the\nremarks:        inetnum 163.198.0.0 - 163.198.255.255.\nremarks:        In case of difficulties please contact\nremarks:        hostmaster@afrinic.net\nremarks:\nmnt-by:         TF-163-198-MNT\nchanged:        hostmaster@afrinic.net 20050221\nsource:         AFRINIC # Filtered"
MNT-MOH-BE,Benefit,HA1559-RIPE,,,2010-01-12,2010-01-12,ripe,"mntner:         MNT-MOH-BE\ndescr:          Benefit\nadmin-c:        HA1559-RIPE\nupd-to:         mohamedn@benefitco.com.bh\nremarks:        MD5 passwords older than November 2011 were removed from this maintainer, see: https://www.ripe.net/removed2011pw\nmnt-by:         MNT-MOH-BE\ncreated:        2010-01-12T09:32:32Z\nlast-modified:  2010-01-12T09:32:32Z\nsource:         RIPE"
OVH-MNT,OVH MNT,OK217-RIPE,OK217-RIPE,,1970-01-01,2025-07-09,ripe,mntner:         OVH-MNT\ndescr:          OVH MNT\nadmin-c:        OK217-RIPE\ntech-c:         OK217-RIPE\nupd-to:         noc@ovh.net\nmnt-nfy:        noc@ovh.net\nauth:           PGPKEY-CED72A26\nauth:           PGPKEY-ABF48929\nauth:           PGPKEY-D6E647C6\nauth:           PGPKEY-16E9DED6\nauth:           SSO\nauth:           SSO\nauth:           SSO\nauth:           SSO\nauth:           SSO\nauth:           SSO\nauth:           SSO\nnotify:         noc@ovh.net\nmnt-by:         OVH-MNT\ncreated:        1970-01-01T00:00:00Z\nlast-modified:  2025-07-09T11:14:19Z\nsource:         RIPE\nauth:           PGPKEY-31797421
GENERATED-UVKWYYBD0TDA6YKHR6LKJLAYZ9JE2INO-MNT,Auto-generated maintainer,AGMT2310-AFRINIC,,,,,afrinic,mntner:         GENERATED-UVKWYYBD0TDA6YKHR6LKJLAYZ9JE2INO-MNT\ndescr:          Auto-generated maintainer\nadmin-c:        AGMT2310-AFRINIC\nupd-to:         hostmaster@afrinic.net\nauth:           BCRYPT-PW # Filtered\nmnt-by:         AFRINIC-HM-MNT\nchanged:        hostmaster@afrinic.net\nsource:         AFRINIC # Filtered
MAINT-ADP-AU,Automatic Data Processing Limited,ADPL2-AP,,,,2014-09-26,apnic,mntner:         MAINT-ADP-AU\ndescr:          Automatic Data Processing Limited\ncountry:        AU\nadmin-c:        ADPL2-AP\nupd-to:         netadmin@au.adp.com\nauth:           # Filtered\nmnt-by:         MAINT-ADP-AU\nreferral-by:    APNIC-HM\nlast-modified:  2014-09-26T07:31:35Z\nsource:         APNIC
MAINT-CYBERFEELINC-JP,Cyber Feel Inc,CFIA1-AP,,,,2015-12-08,apnic,mntner:         MAINT-CYBERFEELINC-JP\ndescr:          Cyber Feel Inc\ncountry:        JP\nadmin-c:        CFIA1-AP\nupd-to:         as@cyberfeel.co.jp\nauth:           # Filtered\nmnt-by:         MAINT-CYBERFEELINC-JP\nreferral-by:    APNIC-HM\nlast-modified:  2015-12-08T10:55:44Z\nsource:         APNIC
LIR-IT-TODSSPA-1-MNT,Startup maintainer,IA7117-RIPE,IA7117-RIPE,,2023-11-29,2023-11-29,ripe,mntner:         lir-it-todsspa-1-MNT\ndescr:          Startup maintainer\nadmin-c:        IA7117-RIPE\ntech-c:         IA7117-RIPE\nupd-to:         as-ripe@todsgroup.com\nauth:           SSO\nmnt-by:         lir-it-todsspa-1-MNT\ncreated:        2023-11-29T09:42:41Z\nlast-modified:  2023-11-29T09:42:41Z\nsource:         RIPE
LIR-CY-METAQUOTES-1-MNT,Startup maintainer,AA43661-RIPE,AA43661-RIPE,,2024-08-21,2024-08-21,ripe,mntner:         lir-cy-metaquotes-1-MNT\ndescr:          Startup maintainer\nadmin-c:        AA43661-RIPE\ntech-c:         AA43661-RIPE\nupd-to:         noc@metaquotes.net\nauth:           SSO\nmnt-by:         lir-cy-metaquotes-1-MNT\ncreated:        2024-08-21T07:50:46Z\nlast-modified:  2024-08-21T07:50:46Z\nsource:         RIPE
ALISKKA-MNT,,AB44544-RIPE,,,2023-05-05,2023-05-05,ripe,mntner:         Aliskka-MNT\nadmin-c:        AB44544-RIPE\nupd-to:         abessonov@newtelco.de\nauth:           SSO\nmnt-by:         Aliskka-MNT\ncreated:        2023-05-05T12:57:29Z\nlast-modified:  2023-05-05T12:57:29Z\nsource:         RIPE
CM-FS-MNT,,FS14668-RIPE,,,2017-10-16,2017-10-16,ripe,mntner:         CM-FS-MNT\nadmin-c:        FS14668-RIPE\nupd-to:         frederic.saelens@citymesh.com\nauth:           SSO\nmnt-by:         CM-FS-MNT\ncreated:        2017-10-16T19:27:50Z\nlast-modified:  2017-10-16T19:27:50Z\nsource:         RIPE
FR-NXTOFRANCE-1-MNT,Startup maintainer,GC19945-RIPE\nMM45424-RIPE\nAS46651-RIPE,,,2016-04-13,2024-01-24,ripe,mntner:         fr-nxtofrance-1-mnt\ndescr:          Startup maintainer\nadmin-c:        GC19945-RIPE\nadmin-c:        MM45424-RIPE\nadmin-c:        AS46651-RIPE\nupd-to:         ginette.clerc@nxo.eu\nupd-to:         marc.michot@nxo.eu\nauth:           SSO\nauth:           SSO\nauth:           SSO\nauth:           SSO\nmnt-by:         fr-nxtofrance-1-mnt\nmnt-by:         GC19945-MNT\nmnt-by:         MM45424-MNT\ncreated:        2016-04-13T07:34:30Z\nlast-modified:  2024-01-24T15:11:08Z\nsource:         RIPE
NETAFFAIRS-MNT,MNTNET Object Netaffairs,MH7904-RIPE\nGROE1-RIPE,,,2006-02-08,2025-07-09,ripe,mntner:         Netaffairs-MNT\ndescr:          MNTNET Object Netaffairs\nadmin-c:        MH7904-RIPE\nadmin-c:        GROE1-RIPE\nupd-to:         mhunting@netaffairs.nl\nupd-to:         wgroen@netaffairs.nl\nmnt-by:         Netaffairs-MNT\ncreated:        2006-02-08T11:14:22Z\nlast-modified:  2025-07-09T10:49:43Z\nsource:         RIPE\nauth:           SSO\nauth:           SSO
HOSTING1-MNT,,DUMY-RIPE,,,2023-01-24,2023-01-24,ripe,"mntner:         hosting1-MNT\nadmin-c:        DUMY-RIPE\nupd-to:         unread@ripe.net\nauth:           MD5-PW $1$SaltSalt$DummifiedMD5HashValue.   # Real value hidden for security\nmnt-by:         hosting1-MNT\ncreated:        2023-01-24T15:28:59Z\nlast-modified:  2023-01-24T15:28:59Z\nsource:         RIPE\nremarks:        ****************************\nremarks:        * THIS OBJECT IS MODIFIED\nremarks:        * Please note that all data that is generally regarded as personal\nremarks:        * data has been removed from this object.\nremarks:        * To view the original object, please query the RIPE Database at:\nremarks:        * http://www.ripe.net/whois\nremarks:        ****************************\n"
GENERATED-WXISJSBT77UM2M15IVCR2YSPYCEHGN83-MNT,Auto-generated maintainer,AGMT2310-AFRINIC,,,,,afrinic,mntner:         GENERATED-WXISJSBT77UM2M15IVCR2YSPYCEHGN83-MNT\ndescr:          Auto-generated maintainer\nadmin-c:        AGMT2310-AFRINIC\nupd-to:         ***@afrinic.net\nauth:           BCRYPT-PW # Filtered\nmnt-by:         AFRINIC-HM-MNT\nchanged:        ***@afrinic.net\nsource:         AFRINIC\n
BIDBOLAND-MNT,,DUMY-RIPE,,,2022-10-03,2022-10-03,ripe,"mntner:         Bidboland-mnt\nadmin-c:        DUMY-RIPE\nupd-to:         unread@ripe.net\nauth:           MD5-PW $1$SaltSalt$DummifiedMD5HashValue.   # Real value hidden for security\nmnt-by:         Bidboland-mnt\ncreated:        2022-10-03T09:36:31Z\nlast-modified:  2022-10-03T09:36:31Z\nsource:         RIPE\nremarks:        ****************************\nremarks:        * THIS OBJECT IS MODIFIED\nremarks:        * Please note that all data that is generally regarded as personal\nremarks:        * data has been removed from this object.\nremarks:        * To view the original object, please query the RIPE Database at:\nremarks:        * http://www.ripe.net/whois\nremarks:        ****************************\n"
IPVI-26THAVE-MNT,,AA43324-RIPE,,,2024-05-31,2024-05-31,ripe,mntner:         IPVI-26THAVE-MNT\nadmin-c:        AA43324-RIPE\nupd-to:         axel@26thave.com\nauth:           SSO\nmnt-by:         IPVI-26THAVE-MNT\ncreated:        2024-05-31T19:03:52Z\nlast-modified:  2024-05-31T19:03:52Z\nsource:         RIPE
TNS-SHEFFIELD,"Transaction Network Services Sheffield, UK",BR1573-RIPE,,,2005-01-17,2011-08-04,ripe,"mntner:         tns-sheffield\ndescr:          Transaction Network Services Sheffield, UK\nadmin-c:        BR1573-RIPE\nupd-to:         msutcliffe@tnsi.com\nremarks:        MD5 passwords older than November 2011 were removed from this maintainer, see: https://www.ripe.net/removed2011pw\nmnt-by:         tns-sheffield\ncreated:        2005-01-17T16:14:27Z\nlast-modified:  2011-08-04T15:19:33Z\nsource:         RIPE"
