id,name,mobilephone,officephone,fax,address,country,email,abuse_email,created,updated,source,raw
AM5270-KR,AS Manager,,+82-2-6277-9025,,"Gyeonggi-do Ilsandong-gu, Goyang-si Baengma-ro 195\nMcity Building 3004",KR,hanadocu@hanafn.com,hanadocu@hanafn.com,,,krnic,"person:         AS Manager\naddress:        Gyeonggi-do Ilsandong-gu, Goyang-si Baengma-ro 195\naddress:        Mcity Building 3004\ncountry:        KR\nphone:          +82-2-6277-9025\ne-mail:         hanadocu@hanafn.com\nnic-hdl:        AM5270-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
GENERATED-KRNIC-IP-MANAGER-KRA03,IP Manager,,+82-2-6346-0916,,,KR,kra03@hanafos.com,kra03@hanafos.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-KRA03\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-6346-0916\ne-mail:             kra03@hanafos.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-AVENGERS,IP Manager,,+82-2-6903-9656,,,KR,avengers@koreacenter.com,avengers@koreacenter.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-AVENGERS\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-6903-9656\ne-mail:             avengers@koreacenter.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-NANUM,IP Manager,,+82-2-710-7113,,,KR,nanum@onsetel.co.kr,nanum@onsetel.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-NANUM\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-710-7113\ne-mail:             nanum@onsetel.co.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-DIGITAL01,IP Manager,,+82-2-724-5071,,,KR,digital01@chosun.com,digital01@chosun.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-DIGITAL01\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-724-5071\ne-mail:             digital01@chosun.com\nsource:             KRNIC\n
SJ4084-KR,AS Manager,,+82-2-727-2721,,Seoul Yeongdeungpo-gu Gukjegeumyung-ro 10\n16F,KR,viit@viamc.kr,viit@viamc.kr,,,krnic,"person:         AS Manager\naddress:        Seoul Yeongdeungpo-gu Gukjegeumyung-ro 10\naddress:        16F\ncountry:        KR\nphone:          +82-2-727-2721\ne-mail:         viit@viamc.kr\nnic-hdl:        SJ4084-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr 20240912\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
JH147-KR,IP Manager,,+82-2-767-7127,,Seoul Yeongdeungpo-gu Yeouinaru-ro 4-gil 21\nkoscom,KR,jmkang@koscom.co.kr,jmkang@koscom.co.kr,,,krnic,"person:         IP Manager\naddress:        Seoul Yeongdeungpo-gu Yeouinaru-ro 4-gil 21\naddress:        koscom\ncountry:        KR\nphone:          +82-2-767-7127\ne-mail:         jmkang@koscom.co.kr\nnic-hdl:        JH147-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC"
GENERATED-KRNIC-IP-MANAGER-N005457,IP Manager,,+82-2-767-7155,,,KR,n005457@hanafos.com,n005457@hanafos.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-N005457\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-767-7155\ne-mail:             n005457@hanafos.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-SCOOP,IP Manager,,+82-2-837-8674,,,KR,scoop@whitecode.co.kr,scoop@whitecode.co.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-SCOOP\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-837-8674\ne-mail:             scoop@whitecode.co.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-BASSIST,IP Manager,,+82-2-860-1314,,,KR,bassist@ktl.re.kr,bassist@ktl.re.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-BASSIST\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-2-860-1314\ne-mail:             bassist@ktl.re.kr\nsource:             KRNIC\n
JU3785-KR,AS Manager,,+82-2-940-4900,,Seoul Seongbuk-gu Hwarang-ro 13-gil 60\n60,KR,ithelpdesk@dongduk.ac.kr,ithelpdesk@dongduk.ac.kr,,,krnic,"person:         AS Manager\naddress:        Seoul Seongbuk-gu Hwarang-ro 13-gil 60\naddress:        60\ncountry:        KR\nphone:          +82-2-940-4900\ne-mail:         ithelpdesk@dongduk.ac.kr\nnic-hdl:        JU3785-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr 20240912\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
IM3107-KR,IP Manager,,+82-31-4029-1357,,Jong-ro Jongno-gu Seoul\n20F (Gongpyung-dong),KR,soonwoo@yahooinc.com,soonwoo@yahooinc.com,,,krnic,person:         IP Manager\naddress:        Jong-ro Jongno-gu Seoul\naddress:        20F (Gongpyung-dong)\ncountry:        KR\nphone:          +82-31-4029-1357\ne-mail:         soonwoo@yahooinc.com\nnic-hdl:        IM3107-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr\nsource:         KRNIC
JL106-KR,IP Manager,,+82-31-627-6670,,"Gyeonggi-do Bundang-gu, Seongnam-si Pangyo-ro 242\n242",KR,noc@webzen.com,noc@webzen.com,,,krnic,"person:         IP Manager\naddress:        Gyeonggi-do Bundang-gu, Seongnam-si Pangyo-ro 242\naddress:        242\ncountry:        KR\nphone:          +82-31-627-6670\ne-mail:         noc@webzen.com\nnic-hdl:        JL106-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC"
GENERATED-KRNIC-IP-MANAGER-SGDREAMS,IP Manager,,+82-31-702-0634,,,KR,sgdreams@renoeve.com,sgdreams@renoeve.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-SGDREAMS\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-31-702-0634\ne-mail:             sgdreams@renoeve.com\nsource:             KRNIC\n
JH3904-KR,AS Manager,,+82-31-779-0431,,"Gyeonggi-do Bundang-gu, Seongnam-si Seohyeon-ro 180beon-gil 20\njesaeng general hospital",KR,jun@dmc.or.kr,jun@dmc.or.kr,,,krnic,"person:         AS Manager\naddress:        Gyeonggi-do Bundang-gu, Seongnam-si Seohyeon-ro 180beon-gil 20\naddress:        jesaeng general hospital\ncountry:        KR\nphone:          +82-31-779-0431\ne-mail:         jun@dmc.or.kr\nnic-hdl:        JH3904-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr 20240912\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
AM5471-KR,AS Manager,,+82-31-8007-4324,,Seoul Jung-gu Eulji-ro 100\nPINE AVENUE A-Dong,KR,thdgorhkd97@shinhan.com,thdgorhkd97@shinhan.com,,,krnic,"person:         AS Manager\naddress:        Seoul Jung-gu Eulji-ro 100\naddress:        PINE AVENUE A-Dong\ncountry:        KR\nphone:          +82-31-8007-4324\ne-mail:         thdgorhkd97@shinhan.com\nnic-hdl:        AM5471-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
JL214-KR,AS Manager,,+82-31-8007-4324,,Seoul Jung-gu Eulji-ro 100\nPINE AVENUE 100,KR,thdgorhkd97@shinhan.com,thdgorhkd97@shinhan.com,,,krnic,"person:         AS Manager\naddress:        Seoul Jung-gu Eulji-ro 100\naddress:        PINE AVENUE 100\ncountry:        KR\nphone:          +82-31-8007-4324\ne-mail:         thdgorhkd97@shinhan.com\nnic-hdl:        JL214-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
MG625-KR,AS Manager,,+82-31-880-2321,,Gyeonggi-do Yeoju-si Cheongsim-ro 181\nGyeonggi-do Yeoju Office of Education,KR,winter17@korea.kr,winter17@korea.kr,,,krnic,"person:         AS Manager\naddress:        Gyeonggi-do Yeoju-si Cheongsim-ro 181\naddress:        Gyeonggi-do Yeoju Office of Education\ncountry:        KR\nphone:          +82-31-880-2321\ne-mail:         winter17@korea.kr\nnic-hdl:        MG625-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
GENERATED-KRNIC-IP-MANAGER-BMYIM,IP Manager,,+82-32-680-8126,,,KR,bmyim@schefenacker-korea.com,bmyim@schefenacker-korea.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-BMYIM\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-32-680-8126\ne-mail:             bmyim@schefenacker-korea.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-LIM7970,IP Manager,,+82-32-770-8092,,,KR,lim7970@incheon.ac.kr,lim7970@incheon.ac.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-LIM7970\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-32-770-8092\ne-mail:             lim7970@incheon.ac.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-ENID,IP Manager,,+82-41-734-4708,,,KR,enid@edunet4u.net,enid@edunet4u.net,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-ENID\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-41-734-4708\ne-mail:             enid@edunet4u.net\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-NAMILE,IP Manager,,+82-41-752-9461,,,KR,namil-e@cnoe.or.kr,namil-e@cnoe.or.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-NAMILE\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-41-752-9461\ne-mail:             namil-e@cnoe.or.kr\nsource:             KRNIC\n
CS233-KR,AS Manager,,+82-41-850-0711,,Chungcheongnam-do Gongju-si Gongjudaehak-ro 56\nComputer Center,KR,web@kongju.ac.kr,web@kongju.ac.kr,,,krnic,"person:         AS Manager\naddress:        Chungcheongnam-do Gongju-si Gongjudaehak-ro 56\naddress:        Computer Center\ncountry:        KR\nphone:          +82-41-850-0711\ne-mail:         web@kongju.ac.kr\nnic-hdl:        CS233-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr 20240912\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
GENERATED-KRNIC-IP-MANAGER-OK0419,IP Manager,,+82-41-853-9782,,,KR,ok0419@cnoe.or.kr,ok0419@cnoe.or.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-OK0419\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-41-853-9782\ne-mail:             ok0419@cnoe.or.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-SHA798,IP Manager,,+82-42-481-5018,,,KR,sha798@kipo.go.kr,sha798@kipo.go.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-SHA798\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-42-481-5018\ne-mail:             sha798@kipo.go.kr\nsource:             KRNIC\n
AM6322-KR,AS Manager,,+82-43-931-0114,,Chungcheongbuk-do Jincheon-gun Gyohak-ro\nKorea Institute for Curriculum and Evaluation,KR,kiceism@kice.re.kr,kiceism@kice.re.kr,,,krnic,"person:         AS Manager\naddress:        Chungcheongbuk-do Jincheon-gun Gyohak-ro\naddress:        Korea Institute for Curriculum and Evaluation\ncountry:        KR\nphone:          +82-43-931-0114\ne-mail:         kiceism@kice.re.kr\nnic-hdl:        AM6322-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr 20240912\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
GENERATED-KRNIC-IP-MANAGER-K5281967,IP Manager,,+82-51-528-1967,,,KR,k5281967@korea.com,k5281967@korea.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-K5281967\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-51-528-1967\ne-mail:             k5281967@korea.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-LEES1245,IP Manager,,+82-51-989-3120,,,KR,lees1245@naver.com,lees1245@naver.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-LEES1245\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-51-989-3120\ne-mail:             lees1245@naver.com\nsource:             KRNIC\n
LC861-KR,AS Manager,,+82-52-220-1912,,Ulsan Nam-gu Nambusunhwando-ro 111\ncenter,KR,74802031@korea.kr,74802031@korea.kr,,,krnic,"person:         AS Manager\naddress:        Ulsan Nam-gu Nambusunhwando-ro 111\naddress:        center\ncountry:        KR\nphone:          +82-52-220-1912\ne-mail:         74802031@korea.kr\nnic-hdl:        LC861-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr 20240912\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
HP52-KR,AS Manager,,+82-53-230-1847,,Daegu Dong-gu Cheomdan-ro 53\nNIA,KR,paranssy@nia.or.kr,paranssy@nia.or.kr,,,krnic,"person:         AS Manager\naddress:        Daegu Dong-gu Cheomdan-ro 53\naddress:        NIA\ncountry:        KR\nphone:          +82-53-230-1847\ne-mail:         paranssy@nia.or.kr\nnic-hdl:        HP52-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
GENERATED-KRNIC-IP-MANAGER-YWLEE,IP Manager,,+82-53-560-3791,,,KR,ywlee@mail.ttc.ac.kr,ywlee@mail.ttc.ac.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-YWLEE\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-53-560-3791\ne-mail:             ywlee@mail.ttc.ac.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-TECH061,IP Manager,,+82-53-591-1811,,,KR,tech061@dominokorea.com,tech061@dominokorea.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-TECH061\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-53-591-1811\ne-mail:             tech061@dominokorea.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-CHDE21,IP Manager,,+82-53-745-9009,,,KR,chde21@krline.net,chde21@krline.net,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-CHDE21\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-53-745-9009\ne-mail:             chde21@krline.net\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-JASEO,IP Manager,,+82-54-260-1232,,,KR,jaseo@handong.edu,jaseo@handong.edu,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-JASEO\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-54-260-1232\ne-mail:             jaseo@handong.edu\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-GYU92,IP Manager,,+82-54-279-6114,,,KR,gyu92@rist.re.kr,gyu92@rist.re.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-GYU92\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-54-279-6114\ne-mail:             gyu92@rist.re.kr\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-USDLESON,IP Manager,,+82-55-246-7606,,,KR,usdleson@vshare.com,usdleson@vshare.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-USDLESON\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-55-246-7606\ne-mail:             usdleson@vshare.com\nsource:             KRNIC\n
GENERATED-KRNIC-IP-MANAGER-LOVEPOET,IP Manager,,+82-55-330-1035,,,KR,lovepoet@kaya.ac.kr,lovepoet@kaya.ac.kr,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-LOVEPOET\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-55-330-1035\ne-mail:             lovepoet@kaya.ac.kr\nsource:             KRNIC\n
KE5005-KR,AS Manager,,+82-55-380-9121,,Gyeongsangnam-do Yangsan-si Junam-ro 288\ncomputer center,KR,ejkim@ysu.ac.kr,ejkim@ysu.ac.kr,,,krnic,"person:         AS Manager\naddress:        Gyeongsangnam-do Yangsan-si Junam-ro 288\naddress:        computer center\ncountry:        KR\nphone:          +82-55-380-9121\ne-mail:         ejkim@ysu.ac.kr\nnic-hdl:        KE5005-KR\nmnt-by:         MNT-KRNIC-AP\nchanged:        hostmaster@nic.or.kr 20240912\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
GENERATED-KRNIC-IP-MANAGER-SOOHYUKCHO,IP Manager,,+82-55-630-3112,,,KR,soohyuk.choi@samsung.com,soohyuk.choi@samsung.com,,,krnic,nic-hdl:            GENERATED-KRNIC-IP-MANAGER-SOOHYUKCHO\nperson:             IP Manager\nname:               IP Manager\nphone:              +82-55-630-3112\ne-mail:             soohyuk.choi@samsung.com\nsource:             KRNIC\n
HM3444-KR,AS Manager,,+82-55-735-8813,,Gyeongsangnam-do Geoje-si Geoje-daero 3370\nInformation Strategy Team,KR,qhal5450@hanwha.com,qhal5450@hanwha.com,,,krnic,"person:         AS Manager\naddress:        Gyeongsangnam-do Geoje-si Geoje-daero 3370\naddress:        Information Strategy Team\ncountry:        KR\nphone:          +82-55-735-8813\ne-mail:         qhal5450@hanwha.com\nnic-hdl:        HM3444-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
YM435-KR,AS Manager,,+82-55-772-0622,,Gyeongsangnam-do Jinju-si Jinju-daero 501\ngazadong,KR,230008@gnu.ac.kr,230008@gnu.ac.kr,,,krnic,"person:         AS Manager\naddress:        Gyeongsangnam-do Jinju-si Jinju-daero 501\naddress:        gazadong\ncountry:        KR\nphone:          +82-55-772-0622\ne-mail:         230008@gnu.ac.kr\nnic-hdl:        YM435-KR\nmnt-by:         MNT-KRNIC-AP\nremarks:        This information has been partially mirrored by APNIC from\nremarks:        KRNIC. To obtain more specific information, please use the\nremarks:        KRNIC whois server at whois.kisa.or.kr.\nsource:         KRNIC\n"
